check_date,engine,query,position,is_brand
2026-07-12,google,купить люстру в спальню в москве,6.0,False
2026-07-12,yandex,купить люстру в спальню в москве,2.0,False
2026-07-12,google,купить люстру в стиле прованс в москве,16.0,False
2026-07-12,yandex,купить люстру в стиле прованс в москве,5.0,False
2026-07-12,google,купить люстру для кухни в москве,21.0,False
2026-07-12,google,купить люстру для прихожей для большого крючка,30.0,False
2026-07-12,google,купить люстру для спальни,24.0,False
2026-07-12,yandex,купить люстру для спальни,5.0,False
2026-07-12,google,купить люстру из цветного стекла,8.0,False
2026-07-12,yandex,купить люстру классика цвет слоновой кости 8 плафонов,10.0,False
2026-07-12,google,купить люстру лампу,9.0,False
2026-07-12,yandex,купить люстру лампу,7.0,False
2026-07-12,google,купить люстру магазин,5.0,False
2026-07-12,google,купить люстру москва,12.0,False
2026-07-12,google,купить люстру на крючке,7.0,False
2026-07-12,yandex,купить люстру на крючке,2.0,False
2026-07-12,yandex,купить люстру на кухню,14.0,False
2026-07-12,yandex,купить люстру недорого,1.0,False
2026-07-12,google,купить люстру онлайн,9.0,False
2026-07-12,google,купить люстру подвесную,16.0,False
2026-07-12,google,купить люстру потолочную,12.0,False
2026-07-12,yandex,купить люстру потолочную,6.0,False
2026-07-12,google,купить люстру потолочную в москве,4.0,False
2026-07-12,yandex,купить люстру потолочную в москве,3.0,False
2026-07-12,google,купить люстру потолочную в москве недорого,8.0,False
2026-07-12,google,купить люстру с установкой,2.0,False
2026-07-12,yandex,купить люстру с установкой,1.0,False
2026-07-12,google,купить люстру стекло,3.0,False
2026-07-12,yandex,купить люстру стекло,2.0,False
2026-07-12,google,купить люстру таблетку,3.0,False
2026-07-12,yandex,купить люстру таблетку,1.0,False
2026-07-12,google,купить люстры,4.0,False
2026-07-12,google,купить люстры в москве,9.0,False
2026-07-12,yandex,купить настенную люстру в москве,14.0,False
2026-07-12,yandex,купить настольную лампу,12.0,False
2026-07-12,google,купить настольную лампу в стиле ретро,13.0,False
2026-07-12,yandex,купить настольную лампу в стиле ретро,7.0,False
2026-07-12,google,купить настольную лампу классика,5.0,False
2026-07-12,yandex,купить настольную лампу классика,4.0,False
2026-07-12,google,купить настольную лампу на прищепке,3.0,False
2026-07-12,yandex,купить настольные лампы citilux,8.0,False
2026-07-12,google,купить оригинальную люстру,17.0,False
2026-07-12,yandex,купить оригинальную люстру,11.0,False
2026-07-12,yandex,купить освещение,1.0,False
2026-07-12,google,купить плафон,7.0,False
2026-07-12,yandex,купить плафон,8.0,False
2026-07-12,google,купить плафон на люстру,11.0,False
2026-07-12,yandex,купить плафон на люстру,16.0,False
2026-07-12,google,купить плафоны,5.0,False
2026-07-12,yandex,купить плафоны,9.0,False
2026-07-12,google,купить плафоны для люстр,6.0,False
2026-07-12,yandex,купить плафоны для люстр,7.0,False
2026-07-12,google,купить плафоны для люстры,9.0,False
2026-07-12,yandex,купить плафоны для люстры,11.0,False
2026-07-12,google,купить плафоны для люстры отдельно,8.0,False
2026-07-12,yandex,купить плафоны для люстры отдельно,7.0,False
2026-07-12,google,купить подвес для светильника,8.0,False
2026-07-12,yandex,купить подвес для светильника,24.0,False
2026-07-12,google,купить подвесную люстру в гостиную,16.0,False
2026-07-12,yandex,купить подвесную люстру в гостиную,5.0,False
2026-07-12,google,купить подвесную люстру в москве,16.0,False
2026-07-12,yandex,купить подвесную люстру в москве,13.0,False
2026-07-12,google,купить потолочную люстру,18.0,False
2026-07-12,yandex,купить потолочную люстру,3.0,False
2026-07-12,google,купить потолочную люстру в москве,3.0,False
2026-07-12,google,купить потолочные люстры,15.0,False
2026-07-12,yandex,купить потолочные люстры,5.0,False
2026-07-12,google,купить потолочный люстра,20.0,False
