check_date,engine,domain,hide_brand,total_queries,total_weighted_freq,visibility_weighted,visibility_unweighted,top3,top10,top11_50,top1_50,not_found,avg_position,median_position,unique_urls
2026-08-02,google,svetilnik-online.ru,True,1278,87721.0,10.1,14.24,98,178,371,549,729,16.0,15.0,193
2026-08-02,google,basicdecor.ru,True,1278,87721.0,7.41,9.19,15,130,336,466,812,17.8,16.0,227
2026-08-02,google,220svet.ru,True,1278,87721.0,6.74,7.98,13,115,312,427,851,19.0,17.0,176
2026-08-02,google,elektrostandard.ru,True,1278,87721.0,6.72,8.96,60,154,81,235,1043,11.1,7.0,47
2026-08-02,google,svetodom.ru,True,1278,87721.0,5.69,7.66,35,120,186,306,972,15.7,13.0,98
2026-08-02,google,fedomo.ru,True,1278,87721.0,4.53,6.14,15,73,271,344,934,19.4,19.0,152
2026-08-02,google,divine-light.ru,True,1278,87721.0,4.05,4.07,16,41,221,262,1016,23.1,24.0,105
2026-08-02,google,topsvet.ru,True,1278,87721.0,3.27,5.58,48,77,104,181,1097,15.4,13.0,62
2026-08-02,google,lustranadom.ru,True,1278,87721.0,2.35,2.69,4,14,241,255,1023,25.5,26.0,101
2026-08-02,google,megalamps.ru,True,1278,87721.0,0.13,0.56,0,2,72,74,1204,30.4,30.0,57
2026-08-02,google,market-sveta.ru,False,1278,87721.0,30.87,26.35,100,510,269,779,499,11.1,8.0,213
2026-08-02,google,donplafon.ru,False,1278,87721.0,27.66,26.83,187,409,390,799,479,11.5,10.0,375
2026-08-02,google,vamsvet.ru,False,1278,87721.0,25.12,24.82,76,467,345,812,466,11.7,9.0,352
2026-08-02,google,citilux.ru,False,1278,87721.0,23.81,20.54,204,322,90,412,866,7.7,4.0,157
2026-08-02,google,eurosvet.ru,False,1278,87721.0,18.63,9.94,97,152,80,232,1046,11.6,5.0,34
2026-08-02,google,lampsshop.ru,False,1278,87721.0,15.78,13.67,136,181,240,421,857,15.6,14.0,88
2026-08-02,google,msveta.ru,False,1278,87721.0,15.31,9.54,17,119,399,518,760,18.4,17.0,155
2026-08-02,google,maytoni.ru,False,1278,87721.0,13.3,8.2,68,126,79,205,1073,10.9,6.0,91
2026-08-02,google,lu.ru,False,1278,87721.0,12.9,18.27,98,216,580,796,482,16.2,16.0,353
2026-08-02,google,lampadia.ru,False,1278,87721.0,12.82,7.47,25,115,202,317,961,16.5,15.0,128
2026-08-02,google,lustrypremium.ru,False,1278,87721.0,11.59,9.77,88,127,213,340,938,16.6,16.0,89
2026-08-02,google,svetlux.ru,False,1278,87721.0,11.22,21.72,141,374,263,637,641,11.8,9.0,187
2026-08-02,google,svetilnik-online.ru,False,1278,87721.0,10.1,14.24,98,178,371,549,729,16.0,15.0,193
2026-08-02,google,basicdecor.ru,False,1278,87721.0,7.41,9.19,15,130,336,466,812,17.8,16.0,227
2026-08-02,google,220svet.ru,False,1278,87721.0,6.74,7.98,13,115,312,427,851,19.0,17.0,176
2026-08-02,google,elektrostandard.ru,False,1278,87721.0,6.72,8.96,60,154,81,235,1043,11.1,7.0,47
2026-08-02,google,svetodom.ru,False,1278,87721.0,5.69,7.66,35,120,186,306,972,15.7,13.0,98
2026-08-02,google,fedomo.ru,False,1278,87721.0,4.53,6.14,15,73,271,344,934,19.4,19.0,152
2026-08-02,google,divine-light.ru,False,1278,87721.0,4.05,4.07,16,41,221,262,1016,23.1,24.0,105
2026-08-02,google,topsvet.ru,False,1278,87721.0,3.27,5.58,48,77,104,181,1097,15.4,13.0,62
2026-08-02,google,lustranadom.ru,False,1278,87721.0,2.35,2.69,4,14,241,255,1023,25.5,26.0,101
2026-08-02,google,megalamps.ru,False,1278,87721.0,0.13,0.56,0,2,72,74,1204,30.4,30.0,57
2026-08-02,yandex,svetlux.ru,True,1278,87721.0,28.43,27.72,169,508,211,719,559,9.4,7.0,271
